category	city	cost
Water	Kota	362
Economy	Thanjavur	0
Energy	Thanjavur	193.2665
Housing	Thanjavur	87.2776
Transport	Thanjavur	130.0764
Water	Thanjavur	9.2049
Economy	Namchi	0
Energy	Namchi	45.36
Housing	Namchi	65
Transport	Namchi	286.45
Water	Namchi	116
Economy	Jalandhar	0
Energy	Jalandhar	182.12
Housing	Jalandhar	0
Transport	Jalandhar	124.88
Water	Jalandhar	0
Economy	Shivamogga	46.22
Energy	Shivamogga	2.97
Housing	Shivamogga	81
Transport	Shivamogga	153.84
Water	Shivamogga	30.15
Economy	Salem	581
Energy	Salem	104
Housing	Salem	0
Transport	Salem	790
Water	Salem	45
Economy	Ajmer	29
Energy	Ajmer	105
Housing	Ajmer	0
Transport	Ajmer	1138.58
Water	Ajmer	37.23
Economy	Varanasi	70.37
Energy	Varanasi	607.26
Housing	Varanasi	62.84
Transport	Varanasi	499.1
Water	Varanasi	40.96
Economy	Kohima	140.36
Energy	Kohima	106.64
Housing	Kohima	92.63
Transport	Kohima	518.59
Water	Kohima	65.83
Economy	Hubballi	171.59
Energy	Hubballi	325.62
Housing	Hubballi	103.32
Transport	Hubballi	550.54
Water	Hubballi	26.39
Economy	Aurangabad	0
Energy	Aurangabad	110.7
Housing	Aurangabad	360.9
Transport	Aurangabad	246.5
Water	Aurangabad	58.6
Economy	Vadodara	4
Energy	Vadodara	78.2
Housing	Vadodara	260
Transport	Vadodara	318.9
Water	Vadodara	143.8
